-2.09893,1.77858,0.601162
-2.7939,1.87328,0.344192
-5.11691,4.10898,3.87322
1.4553,1.99958,2.4757
-0.5765,1.65208,0.869282
-0.82674,1.57668,0.777921
-2.02805,1.72948,0.333255
5.00534,0.253779,2.92231
5.48829,-0.0399202,1.77059
-0.86679,0.241379,3.82137
-0.76902,0.24818,3.88839
4.42435,1.14058,2.27577
-4.60557,4.82648,-1.60501
5.69217,-0.59522,2.37054
6.19936,-1.69574,1.26973
-1.56561,6.40768,-0.085304
-6.36183,2.56728,5.15689
-5.5654,1.58678,5.44389
-6.35971,2.70748,5.06319
2.48385,2.11398,1.84376
5.68669,-0.31442,0.9702
5.40061,-1.0437,-0.827563
-7.37564,3.04748,2.37063
-6.75013,-0.115021,2.58973
-5.20305,4.61038,1.63075
-6.76378,4.21298,2.85213
2.22076,1.56228,3.33292
2.57725,1.42388,3.46123
-1.4701,1.56238,0.541197
-3.28336,3.15178,1.39265
-6.16421,2.56968,5.21824
1.25816,1.78808,2.98712
-2.86385,1.32768,2.66578
-0.66981,0.25258,3.95349
-6.21799,-1.65928,-0.905925
4.04146,1.40578,2.41791
-7.33723,1.25098,0.682245
5.72146,-0.880121,-0.129132
5.80644,-0.876521,0.0722512
-6.91362,0.68898,0.176539
-3.30649,3.15268,1.49358
-1.56614,6.69508,-0.289689
-6.0655,3.68738,4.32275
4.08716,1.40458,2.29192
-0.56801,0.25268,4.00156
-0.33614,6.69838,-2.12438
-2.13508,5.80138,-1.12452
-0.46589,0.251079,4.03508
-1.53961,1.61428,0.807506
-1.3533,1.56248,0.876276
2.72625,1.76938,2.93839
-2.95267,2.29038,1.75624
-0.94675,1.55178,0.733666
-0.70152,1.61378,0.823569
3.43071,1.26618,3.19671
3.52515,1.23698,3.22957
3.34786,1.31478,3.16686
5.0606,0.15348,2.943
4.88888,0.44958,2.87776
-2.3664,5.65838,0.50773
-7.22982,1.93488,0.576824
-3.69143,3.29798,2.79385
5.98169,-1.14367,1.97036
5.94784,-0.86662,1.26973
5.77854,-1.44031,2.97005
-3.82356,4.40718,1.82564
-0.78517,4.64168,-0.254463
-5.16692,3.68468,4.28217
-5.46939,3.12568,4.79695
-5.31941,-4.70068,2.15937
-7.35979,0.98118,0.683359
-5.86534,1.72868,5.45773
-2.26967,5.50978,0.464424
-2.36807,5.50958,0.532979
-4.76493,5.13838,-1.69608
-1.74711,1.64998,0.436427
-2.91988,2.26028,1.62165
-5.1435,4.50678,0.634676
-7.53017,0.596879,3.98471
2.31406,1.53548,3.36584
2.4015,1.49848,3.3983
2.4896,1.46128,3.4297
